# Core Dependencies
yfinance              # Stock data fetching
pandas                # Data manipulation
numpy                 # Numerical operations
ollama                # LLM integration for trading analysis
robin_stocks          # Robinhood API integration
aiohttp               # Async HTTP requests
pytz                  # Timezone handling
colorama              # Terminal coloring
tabulate              # Table formatting
cryptography          # Secure credential storage

# Development and Testing
pytest                # Testing framework
black                 # Code formatting
isort                 # Import sorting
mypy                  # Static type checking

# Optional Performance Monitoring
rich                  # Enhanced terminal output
